model_name,num_params,rmse,mse,mae,r2_score
CNN,780481,0.16376540896044814,0.02681910917198283,0.09964878806743807,0.5841695874914945
LSTM,348097,0.19787663672582645,0.039155163361924684,0.12185240526677642,0.3928990098732916
CNN_LSTM,768193,0.17300436376061326,0.029930509880214597,0.1063505324016876,0.5359273050321322
DENSE_CNN,4541013,0.15136205261783334,0.02291047097268375,0.09145130561084013,0.6447730409596275
